H	pval	VarFGr	varH	L	dataset	gwas	contrasts	nsnp
0.000171942943150599	0	18.8288002777092	7.74574596569363e-12	109506	HGDP1KG	e50	afr-amr	pruneall
0.00378992531283556	0	431.767769017171	4.21739259038886e-09	113925	HGDP1KG	e200	eurasia-lat	pruneall
0.00314700500040697	0	358.522982896197	3.25395802187953e-09	113925	HGDP1KG	e200	eurasia-long	pruneall
0.000275130080225003	5.83221272399247e-90	37.8296638072551	1.77990802448922e-10	137497	HGDP1KG	e200	eur-lat	pruneall
0.000644657300605271	1.03447507643857e-105	88.6386865908882	8.54438738280169e-10	137497	HGDP1KG	e200	eur-long	pruneall
4.98257365631156e-05	6.07578131642956e-172	7.01354081403229	2.33996256981206e-12	140761	HGDP1KG	e200	sdi-eur	pruneall
0.00361628161392533	0	400.561438580826	4.2410879300953e-09	110766	HGDP1KG	e200	eas-nfe	pruneall
0.00171524533365567	0	189.991049292864	1.42726481664736e-09	110766	HGDP1KG	e200	eas-sas	pruneall
0.00481980747173531	0	533.871313319895	5.51872390450259e-09	110766	HGDP1KG	e200	eas-afr	pruneall
0.00195529878639579	0	216.580835883488	1.69210052560326e-09	110766	HGDP1KG	e200	eas-amr	pruneall
0.00374991724498385	0	415.363737278008	3.88388325914466e-09	110766	HGDP1KG	e200	nfe-sas	pruneall
0.00973095747771517	0	1077.86028362196	1.65624271451152e-08	110766	HGDP1KG	e200	nfe-afr	pruneall
0.0023611149097871	0	261.531508297651	2.29069726547044e-09	110766	HGDP1KG	e200	nfe-amr	pruneall
0.00759438395251353	0	841.200350503664	1.20178510533053e-08	110766	HGDP1KG	e200	sas-afr	pruneall
0.000441974013831552	0	48.9557411994635	7.3661586532272e-11	110766	HGDP1KG	e200	sas-amr	pruneall
0.007405254995243	0	820.251272060812	1.10709371734791e-08	110766	HGDP1KG	e200	afr-amr	pruneall
0.00392791580885532	0	447.661556665648	4.42593654043756e-09	113970	HGDP1KG	ALL	eurasia-lat	pruneall
0.00332676138410262	0	379.148447251607	3.51810879422409e-09	113970	HGDP1KG	ALL	eurasia-long	pruneall
0.000276363056544305	2.31786752309459e-92	38.0176856284582	1.74853883849247e-10	137565	HGDP1KG	ALL	eur-lat	pruneall
0.000672767290455737	6.14296082780861e-108	92.5487497116154	9.11853827818864e-10	137565	HGDP1KG	ALL	eur-long	pruneall
5.00315131755122e-05	1.16203252006313e-174	7.04665292101645	2.3257443707179e-12	140845	HGDP1KG	ALL	sdi-eur	pruneall
0.00381926841962336	0	423.233099571658	4.6302488601407e-09	110816	HGDP1KG	ALL	eas-nfe	pruneall
0.00186015413218555	0	206.13340371703	1.61579999249727e-09	110816	HGDP1KG	ALL	eas-sas	pruneall
0.00484429985350229	0	536.822191317594	5.47357297511514e-09	110816	HGDP1KG	ALL	eas-afr	pruneall
0.00210035427415401	0	232.751237143071	1.89716763201336e-09	110816	HGDP1KG	ALL	eas-amr	pruneall
0.00385587051261632	0	427.289168841001	4.05783480805536e-09	110816	HGDP1KG	ALL	nfe-sas	pruneall
