PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
47	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000737466996098789	0.67585768754758	0.875603916766558	HGDP1KG	e50	eas-afr
48	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000211605761912053	0.675943244333173	0.875714759415761	HGDP1KG	e50	eas-afr
49	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000811040261692799	0.676311997397032	0.876192495532376	HGDP1KG	e50	eas-afr
50	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000157519090378424	0.676332909390044	0.876219587956308	HGDP1KG	e50	eas-afr
51	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000365431081050589	0.676360172678262	0.876254908767756	HGDP1KG	e50	eas-afr
52	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	8.02186884188173e-05	0.676360316326576	0.876255094870584	HGDP1KG	e50	eas-afr
53	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000108034926533987	0.676374709057089	0.876273741297845	HGDP1KG	e50	eas-afr
54	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000670027117294642	0.676566920630364	0.876522760003275	HGDP1KG	e50	eas-afr
55	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000344383281327744	0.676621018429016	0.87659284612534	HGDP1KG	e50	eas-afr
56	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000145852982325791	0.67663631111142	0.8766126584806	HGDP1KG	e50	eas-afr
57	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000503474133839185	0.676776328210652	0.876794056906275	HGDP1KG	e50	eas-afr
58	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000724067212991535	0.677133208726892	0.877256411605489	HGDP1KG	e50	eas-afr
59	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000296451017471675	0.677135460611398	0.877259329022765	HGDP1KG	e50	eas-afr
60	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000232150403228779	0.677145095817247	0.877271811863659	HGDP1KG	e50	eas-afr
61	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000171764259808077	0.677192228197113	0.877332873973593	HGDP1KG	e50	eas-afr
62	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000208846321622447	0.67720632337015	0.877351134901812	HGDP1KG	e50	eas-afr
63	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000913284283109202	0.677634891138383	0.877906363648009	HGDP1KG	e50	eas-afr
64	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000270531120886609	0.677670842371497	0.877952940081343	HGDP1KG	e50	eas-afr
65	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	8.81424050538345e-05	0.677675873555365	0.877959458205472	HGDP1KG	e50	eas-afr
66	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000764368716691856	0.677977739207564	0.878350538683319	HGDP1KG	e50	eas-afr
67	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000254086918837403	0.67803382025995	0.878423194199458	HGDP1KG	e50	eas-afr
68	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.00121896844900063	0.678951722485991	0.879612377660915	HGDP1KG	e50	eas-afr
69	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000769299503767621	0.679212216358084	0.879949859143926	HGDP1KG	e50	eas-afr
70	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000349552804705622	0.679234843137558	0.879979173150553	HGDP1KG	e50	eas-afr
71	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.00040594230296418	0.679286956641551	0.88004668852998	HGDP1KG	e50	eas-afr
72	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000171209863436819	0.67929920415962	0.880062555738401	HGDP1KG	e50	eas-afr
73	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000298361649525617	0.679394385938764	0.880185867998007	HGDP1KG	e50	eas-afr
74	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.00011758797076954	0.679402373801962	0.880196216632684	HGDP1KG	e50	eas-afr
75	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000561160544822177	0.679533668243156	0.880366314464044	HGDP1KG	e50	eas-afr
76	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	4.3142158324994e-05	0.679550447322707	0.880388052513408	HGDP1KG	e50	eas-afr
77	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	0.000970908765907299	0.679936290666792	0.880887929853806	HGDP1KG	e50	eas-afr
78	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000101179607659799	0.679948770671704	0.880904098259349	HGDP1KG	e50	eas-afr
79	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000115301182240536	0.679967320089696	0.880928129861486	HGDP1KG	e50	eas-afr
80	9.47345899415435e-05	3.74467915537834e-12	0	0.771876044186048	-0.000426808418823133	0.680091817051112	0.881089421253223	HGDP1KG	e50	eas-afr
1	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	-0.0138833601247451	0.157098497663121	0.231773647386996	HGDP1KG	e50	eas-amr
2	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	0.00925486705215732	0.226909397288241	0.334768437752071	HGDP1KG	e50	eas-amr
3	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	0.012602763014787	0.3563630661715	0.525756572272881	HGDP1KG	e50	eas-amr
4	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	-0.0121789495368822	0.477256481955811	0.704115425719638	HGDP1KG	e50	eas-amr
5	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	0.00086222358535769	0.477862411942541	0.705009378272811	HGDP1KG	e50	eas-amr
6	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	-0.0052006667935079	0.499906946378407	0.737532554669477	HGDP1KG	e50	eas-amr
7	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	0.000811209320000991	0.500443297098992	0.73832385417035	HGDP1KG	e50	eas-amr
8	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	-0.00153942166415907	0.502374812371821	0.741173495296308	HGDP1KG	e50	eas-amr
9	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	0.000636708910946472	0.502705231353599	0.741660975531396	HGDP1KG	e50	eas-amr
10	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	-0.000370812314036904	0.50281730169405	0.741826317351696	HGDP1KG	e50	eas-amr
11	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	-0.000482344223303928	0.503006927437985	0.742106079736213	HGDP1KG	e50	eas-amr
12	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	4.06937826683451e-06	0.503006940934907	0.742106099648758	HGDP1KG	e50	eas-amr
13	6.97936307721183e-05	3.3318511819961e-12	2.15599601868525e-174	0.677810007454435	-0.000197921914626256	0.503038868860877	0.742153204184865	HGDP1KG	e50	eas-amr
