H	varH	Signal	PC	B2	R2	Ratio	lc	uc	se	estimate	dataset	gwas	contrasts
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	50	0.0004767478762173	0.242291107817158	0.821233398080751					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	51	0.00074490489358094	0.242383132201192	0.821545310054276					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	52	0.00554670621993789	0.245248215887481	0.831256365621584					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	53	0.000908695728739228	0.246070095337334	0.834042084253588					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	54	0.00105038429568661	0.247644795460657	0.839379450304227					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	55	0.000267598321670223	0.247847089069424	0.840065114211723					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	56	0.00258526144136876	0.251051008651519	0.850924636830141					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	57	1.29422954670488e-12	0.251313244490897	0.851813471882368					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	58	0.00963306006548623	0.254931330202392	0.8640767895508					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	59	0.00224494304540622	0.255264613308934	0.865206435704858					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	60	0.00051465515699309	0.256733022313876	0.870183533410859					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	61	0.000226243166843993	0.257433688269197	0.872558405062532					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	62	0.00232968511692214	0.258763246598673	0.877064875459649					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	63	0.012874714462497	0.278509807854204	0.943994841426566					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	64	0.0143890087775511	0.293239660102743	0.993920927135102					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	65	1.13518468941945e-05	0.293807024497147	0.99584397991968					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	66	0.0194801862636073	0.321052252430206	1.0881902955502					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	67	0.00155696166390442	0.321809826661561	1.09075805491173					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	68	0.00844099494147296	0.330477207365521	1.12013570138047					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	69	0.000171404333455982	0.330793851432694	1.12120895035609					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	70	0.000215438518341778	0.330890867400175	1.12153778104807					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	71	0.00531078132019225	0.333503628648988	1.13039360253515					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	72	0.00290294656624328	0.334834330556164	1.13490394903077					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	73	0.00108504832707599	0.33579492833992	1.13815984640666					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	74	0.0058292785895162	0.341468367125692	1.15738967887892					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	75	0.00326257023537871	0.343028897402209	1.16267901695384					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	76	1.92792038876441e-06	0.343034515830571	1.16269806033128					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	77	0.00685559094314707	0.348947832400434	1.18274094636348					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	78	0.00017728844487448	0.349015506837424	1.18297032542882					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	79	6.05767097975663e-06	0.349203378743957	1.18360710770943					HGDP1KG	e5_500	eur-long
2.64876884688803e-05	9.11988839269424e-12	0.2950331883523	80	0.00760586664963908	0.356297396905913	1.20765192179145					HGDP1KG	e5_500	eur-long
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	1	0.00488849243325821	0.00488849243325821	0.0132993649159737					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	2	0.002120051503181	0.00700854360343825	0.0190670600771523					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	3	0.00972445944639136	0.0167330026458542	0.0455228910273356					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	4	0.0108375450902287	0.0275705443901734	0.0750069138457435					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	5	0.00163903520252914	0.0292095802889956	0.0794659851906261					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	6	0.000156218375073397	0.0293657985400262	0.0798909840129331					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	7	0.000168094469757473	0.0295338934837045	0.0803482939151227					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	8	0.00112528261457268	0.0306591759692593	0.0834096758469286					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	9	0.00300327651034864	0.0336624530511168	0.0915802270752921					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	10	0.000124047559308379	0.0337865007308787	0.0919177044024349					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	11	0.000189467104732949	0.0339759671104046	0.0924331562631107					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	12	0.00260936411977535	0.0365853320845783	0.0995320517742095					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	13	4.39907760028295e-05	0.036629322636504	0.0996517300617188					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	14	0.00188353393579164	0.038512855868681	0.104775967467849					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	15	0.000485801874366798	0.0389986576086796	0.106097613088716					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	16	4.78998795045669e-06	0.0390034476090619	0.10611064450155					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	17	0.000319287086817124	0.0393227341737205	0.106979278051491					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	18	0.00419344562062847	0.0435161780848767	0.118387732005456					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	19	0.00323432719970962	0.0467505041733099	0.127186862513398					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	20	0.0020217787629773	0.0487722834715213	0.132687204599139					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	21	0.000532276529629954	0.0493045605343799	0.134135288439302					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	22	0.00550153046731066	0.054806092344627	0.149102454726301					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	23	8.20672639169929e-05	0.0548881596715363	0.149325722603494					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	24	0.00121405372014824	0.0561022133561691	0.152628610600142					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	25	0.00103859881245876	0.0571408117687058	0.155454164588014					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	26	0.00294632434359795	0.0600871362981594	0.163469773819912					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	27	0.000133390756368542	0.060220527373266	0.163832670276968					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	28	0.0142267240053523	0.0744472459135059	0.202537101961522					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	29	0.00047331327719267	0.0749205560866262	0.203824763709333					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	30	0.000382357149921935	0.0753029128545138	0.204864982601692					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	31	0.013619245627798	0.0889221579814485	0.241916755371335					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	32	0.000257450943285639	0.089179609936236	0.242617165066511					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	33	0.00312794060399219	0.0923075511180413	0.251126870621032					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	34	0.00414744970758064	0.0964550049290176	0.262410206425963					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	35	1.07277010989491e-06	0.0964560777210653	0.262413125005283					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	36	0.00219112041462191	0.098647196164172	0.268374161898936					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	37	0.00107670372557252	0.0997238986564472	0.271303379760314					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	38	0.00103966497183933	0.100763566137599	0.27413184219774					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	39	0.00863950717715521	0.109403066978011	0.297635995254579					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	40	0.00782196373039115	0.117225036060088	0.318916016161693					HGDP1KG	e5_500	sdi-eur
3.27581504802103e-05	1.10092502475504e-11	0.367573373927555	41	0.00729954722128196	0.123351951219254	0.335584566154037					HGDP1KG	e5_500	sdi-eur
