error	signal	dataset	gwas	contrasts
0.552391723893411	0.447608276106589	HGDP1KG	e5	eur-long
0.856347548433275	0.143652451566726	HGDP1KG	e5	eas-nfe
0.867927606973856	0.132072393026144	HGDP1KG	e5	eas-sas
0.764469984796178	0.235530015203822	HGDP1KG	e5	eas-afr
0.856103665439906	0.143896334560094	HGDP1KG	e5	eas-amr
0.767742090470608	0.232257909529392	HGDP1KG	e5	nfe-sas
0.740092544915848	0.259907455084152	HGDP1KG	e5	nfe-afr
0.867078039421141	0.132921960578859	HGDP1KG	e5	nfe-amr
0.766737782839012	0.233262217160988	HGDP1KG	e5	sas-afr
0.885573112228414	0.114426887771586	HGDP1KG	e5	sas-amr
0.770830771412051	0.229169228587949	HGDP1KG	e5	afr-amr
0.467873669639896	0.532126330360104	HGDP1KG	e10	sdi-eur
0.550261281969226	0.449738718030774	HGDP1KG	e10	eurasia-lat
0.697716289710062	0.302283710289938	HGDP1KG	e10	eurasia-long
0.256443818656163	0.743556181343837	HGDP1KG	e10	eur-lat
0.414491626931651	0.585508373068349	HGDP1KG	e10	eur-long
0.748324271702782	0.251675728297218	HGDP1KG	e10	eas-nfe
0.78569478212344	0.21430521787656	HGDP1KG	e10	eas-sas
0.628857833288736	0.371142166711264	HGDP1KG	e10	eas-afr
0.790178271359923	0.209821728640077	HGDP1KG	e10	eas-amr
0.542919632245569	0.457080367754431	HGDP1KG	e10	nfe-sas
0.543568683066064	0.456431316933936	HGDP1KG	e10	nfe-afr
0.721343649228905	0.278656350771095	HGDP1KG	e10	nfe-amr
0.624796659370805	0.375203340629195	HGDP1KG	e10	sas-afr
0.747746954098419	0.252253045901581	HGDP1KG	e10	sas-amr
0.608706112979134	0.391293887020866	HGDP1KG	e10	afr-amr
0.317788722896138	0.682211277103862	HGDP1KG	e50	sdi-eur
0.0710416209963196	0.92895837900368	HGDP1KG	e50	eurasia-lat
0.0973948962366267	0.902605103763373	HGDP1KG	e50	eurasia-long
0.132860207689618	0.867139792310382	HGDP1KG	e50	eur-lat
0.176288357447236	0.823711642552764	HGDP1KG	e50	eur-long
0.127694686857531	0.872305313142469	HGDP1KG	e50	eas-nfe
0.278725172596812	0.721274827403189	HGDP1KG	e50	eas-sas
0.16807454702105	0.83192545297895	HGDP1KG	e50	eas-afr
0.226501171906322	0.773498828093678	HGDP1KG	e50	eas-amr
0.0598495735416175	0.940150426458382	HGDP1KG	e50	nfe-sas
0.0762882327398983	0.923711767260102	HGDP1KG	e50	nfe-afr
0.0864827583961564	0.913517241603844	HGDP1KG	e50	nfe-amr
0.109518415616377	0.890481584383623	HGDP1KG	e50	sas-afr
0.148928599537163	0.851071400462837	HGDP1KG	e50	sas-amr
0.109729790348101	0.890270209651899	HGDP1KG	e50	afr-amr
0.209311503308096	0.790688496691904	HGDP1KG	e200	sdi-eur
0.00416764386340575	0.995832356136594	HGDP1KG	e200	eurasia-lat
0.00419300077900057	0.995806999220999	HGDP1KG	e200	eurasia-long
0.0550735850671056	0.944926414932894	HGDP1KG	e200	eur-lat
0.0272107884254266	0.972789211574573	HGDP1KG	e200	eur-long
0.00494763512692056	0.995052364873079	HGDP1KG	e200	eas-nfe
0.00916182054846489	0.990838179451535	HGDP1KG	e200	eas-sas
0.00379080503910471	0.996209194960895	HGDP1KG	e200	eas-afr
0.00873267948655879	0.991267320513441	HGDP1KG	e200	eas-amr
0.00372971705909242	0.996270282940907	HGDP1KG	e200	nfe-sas
0.00185800858009377	0.998141991419906	HGDP1KG	e200	nfe-afr
0.00391258350051168	0.996087416499488	HGDP1KG	e200	nfe-amr
0.00217305070911719	0.997826949290883	HGDP1KG	e200	sas-afr
0.0197817324451947	0.980218267554805	HGDP1KG	e200	sas-amr
0.00244843717437245	0.997551562825628	HGDP1KG	e200	afr-amr
