PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
49	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00215945806591686	0.221276494719054	0.589428280668559	InUKBB	e50	NorthernIreland-Scotland
50	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.000823536554944311	0.221282904002111	0.589445353483715	InUKBB	e50	NorthernIreland-Scotland
51	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.00381299270774175	0.221304382047873	0.589502565921042	InUKBB	e50	NorthernIreland-Scotland
52	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.00184236304638822	0.221306662777199	0.589508641244889	InUKBB	e50	NorthernIreland-Scotland
53	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.000357532708776754	0.22130929040874	0.589515640634243	InUKBB	e50	NorthernIreland-Scotland
54	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.0010417897618997	0.221324668580127	0.58955660444801	InUKBB	e50	NorthernIreland-Scotland
55	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.00158976466072503	0.221328843083319	0.589567724337818	InUKBB	e50	NorthernIreland-Scotland
56	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.000597655705456529	0.221330326157821	0.58957167489775	InUKBB	e50	NorthernIreland-Scotland
57	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.000932552638337012	0.22133674570306	0.589588775048934	InUKBB	e50	NorthernIreland-Scotland
58	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.00329139342254536	0.221339928854099	0.589597254210927	InUKBB	e50	NorthernIreland-Scotland
59	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.00232780035285036	0.221341367660142	0.589601086850147	InUKBB	e50	NorthernIreland-Scotland
60	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00282627669190812	0.22134657375054	0.589614954644447	InUKBB	e50	NorthernIreland-Scotland
61	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.00101342824868552	0.221347184021182	0.589616580261194	InUKBB	e50	NorthernIreland-Scotland
62	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	5.21989202819156e-05	0.221349056820505	0.589621568955934	InUKBB	e50	NorthernIreland-Scotland
63	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00466282648326245	0.221375599448365	0.589692272242894	InUKBB	e50	NorthernIreland-Scotland
64	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00176861538431289	0.221387814029081	0.589724808998863	InUKBB	e50	NorthernIreland-Scotland
65	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.0010341447112074	0.221391255770154	0.589733976983587	InUKBB	e50	NorthernIreland-Scotland
66	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.000495978934401114	0.221391471447786	0.589734551497821	InUKBB	e50	NorthernIreland-Scotland
67	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00173582468566771	0.221391778115119	0.58973536838711	InUKBB	e50	NorthernIreland-Scotland
68	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00375753052407547	0.221402402756874	0.58976366992149	InUKBB	e50	NorthernIreland-Scotland
69	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00315636083620358	0.221410603735519	0.589785515390203	InUKBB	e50	NorthernIreland-Scotland
70	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.00289936959345434	0.221417695661526	0.589804406604827	InUKBB	e50	NorthernIreland-Scotland
71	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.00153601384121964	0.221420709955615	0.589812435971817	InUKBB	e50	NorthernIreland-Scotland
72	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00174323490194344	0.221428825775372	0.589834054597381	InUKBB	e50	NorthernIreland-Scotland
73	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00425960630425444	0.221489075015963	0.589994544333709	InUKBB	e50	NorthernIreland-Scotland
74	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.000380122825429641	0.221490961957511	0.589999570699994	InUKBB	e50	NorthernIreland-Scotland
75	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.0021459595705671	0.221493689080647	0.590006835111441	InUKBB	e50	NorthernIreland-Scotland
76	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.000250521125766953	0.221501453474256	0.590027517620809	InUKBB	e50	NorthernIreland-Scotland
77	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.00240772106298696	0.221503999709678	0.590034300190142	InUKBB	e50	NorthernIreland-Scotland
78	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	1.65605727735352e-05	0.22150425908046	0.590034991092599	InUKBB	e50	NorthernIreland-Scotland
79	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	0.000706388095017046	0.221507427104988	0.590043429961144	InUKBB	e50	NorthernIreland-Scotland
80	2.81038693444355e-05	1.34543893927912e-12	1.08317753324756e-34	0.375408683255019	-0.000477044047696018	0.221507497137796	0.590043616511991	InUKBB	e50	NorthernIreland-Scotland
1	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.16783454407553	0.083229104985257	0.109281183477323	InUKBB	e50	NorthernIreland-Wales
2	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.322772343413296	0.391054995567284	0.513461639745882	InUKBB	e50	NorthernIreland-Wales
3	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.125887340163817	0.43787987695289	0.57494347900044	InUKBB	e50	NorthernIreland-Wales
4	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00573004240883547	0.437976889569376	0.575070858161176	InUKBB	e50	NorthernIreland-Wales
5	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.0398839310622271	0.442677002195596	0.581242183328748	InUKBB	e50	NorthernIreland-Wales
6	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00601937171027693	0.442784058986872	0.581382750656151	InUKBB	e50	NorthernIreland-Wales
7	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.232407833028843	0.602377133017541	0.790931081230472	InUKBB	e50	NorthernIreland-Wales
8	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.0161652224766717	0.60314923699811	0.791944866453551	InUKBB	e50	NorthernIreland-Wales
9	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00774121485954265	0.60332630120129	0.792177354663996	InUKBB	e50	NorthernIreland-Wales
10	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00459568620163693	0.603388705328847	0.792259292309662	InUKBB	e50	NorthernIreland-Wales
11	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-3.01243680560494e-05	0.603388708010296	0.792259295830448	InUKBB	e50	NorthernIreland-Wales
12	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.0045790659262671	0.603450661591117	0.792340641900841	InUKBB	e50	NorthernIreland-Wales
13	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.000791301243130197	0.603452511685837	0.792343071105631	InUKBB	e50	NorthernIreland-Wales
14	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00110009436690126	0.603456087475919	0.79234776617681	InUKBB	e50	NorthernIreland-Wales
15	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00048932088529488	0.603456794936468	0.792348695084144	InUKBB	e50	NorthernIreland-Wales
16	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00224109016987207	0.603471634871484	0.79236818016285	InUKBB	e50	NorthernIreland-Wales
17	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.000797255090115018	0.603473512917901	0.792370646068678	InUKBB	e50	NorthernIreland-Wales
18	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00290165133463405	0.603498390225266	0.792403310382335	InUKBB	e50	NorthernIreland-Wales
19	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00281431588635733	0.603521792522471	0.792434037983395	InUKBB	e50	NorthernIreland-Wales
20	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.000855285408570104	0.603523953921888	0.792436875936372	InUKBB	e50	NorthernIreland-Wales
21	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00326312475241828	0.603555415413378	0.792478185392057	InUKBB	e50	NorthernIreland-Wales
22	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00158541626438038	0.603562842153288	0.792487936823684	InUKBB	e50	NorthernIreland-Wales
23	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00346293722804996	0.603598274570912	0.79253446017068	InUKBB	e50	NorthernIreland-Wales
24	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00351550472445534	0.603634790972178	0.792582406806024	InUKBB	e50	NorthernIreland-Wales
25	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00350627312504893	0.603671115847403	0.792630101964526	InUKBB	e50	NorthernIreland-Wales
26	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00498341788093598	0.603744494036793	0.792726448733837	InUKBB	e50	NorthernIreland-Wales
27	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00258212897317885	0.603764194110694	0.79275231525482	InUKBB	e50	NorthernIreland-Wales
28	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00172708860854195	0.603773007490317	0.792763887367193	InUKBB	e50	NorthernIreland-Wales
29	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00673435693714613	0.603907007514393	0.792939831602321	InUKBB	e50	NorthernIreland-Wales
30	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00152418609230964	0.603913871709324	0.792948844403142	InUKBB	e50	NorthernIreland-Wales
31	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.0015066107824054	0.603920578496584	0.792957650525101	InUKBB	e50	NorthernIreland-Wales
32	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.000944446285552042	0.603923213997004	0.792961110980491	InUKBB	e50	NorthernIreland-Wales
33	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.000148218694472746	0.6039232789114	0.792961196214161	InUKBB	e50	NorthernIreland-Wales
34	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00639890869264277	0.604044261942123	0.793120048922962	InUKBB	e50	NorthernIreland-Wales
35	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00429482539459493	0.604098762930327	0.793191609616697	InUKBB	e50	NorthernIreland-Wales
36	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.000211784735923587	0.604098895460993	0.793191783631641	InUKBB	e50	NorthernIreland-Wales
37	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.000850303204134516	0.604101031743537	0.79319458860575	InUKBB	e50	NorthernIreland-Wales
38	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00293215738392671	0.604126434844482	0.793227943295024	InUKBB	e50	NorthernIreland-Wales
39	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00503649411992256	0.604201384344438	0.793326353220946	InUKBB	e50	NorthernIreland-Wales
40	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00115320862638146	0.604205313788621	0.793331512645775	InUKBB	e50	NorthernIreland-Wales
41	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.0684733975726774	0.604205494697398	0.793331750181974	InUKBB	e50	NorthernIreland-Wales
42	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.0924955575620729	0.604228758493501	0.79336229592881	InUKBB	e50	NorthernIreland-Wales
43	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.0111512992031386	0.604233733657367	0.793368828400778	InUKBB	e50	NorthernIreland-Wales
44	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	-0.00621426057998969	0.604235500894501	0.793371148812197	InUKBB	e50	NorthernIreland-Wales
45	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.000334009223682415	0.604237603937389	0.793373910142091	InUKBB	e50	NorthernIreland-Wales
46	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00464069219431933	0.60423923386107	0.793376050258688	InUKBB	e50	NorthernIreland-Wales
47	7.69528038796585e-05	2.58683186112163e-12	0	0.761605084580071	0.00217718926345965	0.604249343934591	0.793389324951472	InUKBB	e50	NorthernIreland-Wales
