PC	H	varH	signal	B	pvalB	lcB	ucB	B2	R2	pvalR2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
5	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	-0.0295148726349236	0.51023986510862	-0.117518575375719	0.0584888301058721	0.000871127706655763	0.0080902326880688	0.545823441470934			0.100750144000096			HGDP1KG	WBS_500	eas-nfe
6	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	0.0120631221967721	0.787872524431147	-0.075972530712031	0.100098775105575	0.000145518917134257	0.008235751538178	0.664018972768238			0.102562334782303			HGDP1KG	WBS_500	eas-nfe
7	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	-0.00277191790064299	0.95070063848918	-0.0908136386975542	0.0852698028962683	7.68352884790506e-06	0.00824343501464656	0.768979003814822			0.102658019466598			HGDP1KG	WBS_500	eas-nfe
8	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	-0.0219643297729235	0.624157110262694	-0.109985149101616	0.0660564895557695	0.000482431782373733	0.00872586689550007	0.826245449749189			0.108665891346218			HGDP1KG	WBS_500	eas-nfe
9	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	-0.0351659400926222	0.432682896932564	-0.123153543973338	0.0528216637880934	0.00123664334259789	0.00996251100447833	0.839415708868232			0.124066198959147			HGDP1KG	WBS_500	eas-nfe
10	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	-0.00185560345264788	0.966985989840058	-0.0898975109108948	0.086186304005599	3.44326417347875e-06	0.00996595430135366	0.895297553872587			0.124109079389092			HGDP1KG	WBS_500	eas-nfe
11	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	-0.00761573581230131	0.865112948753714	-0.0956552416149841	0.0804237699903814	5.79994319627686e-05	0.0100239537440692	0.933013470783922			0.124831364202251			HGDP1KG	WBS_500	eas-nfe
12	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	-0.0283266145626005	0.527423571813499	-0.116333344162434	0.0596801150372326	0.000802397092578132	0.010826352080499	0.945042165764457			0.134823876291546			HGDP1KG	WBS_500	eas-nfe
13	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	-0.0121469472168669	0.786433967857838	-0.100182510782426	0.0758886163486921	0.000147548326689351	0.0109739000224426	0.964656148406991			0.136661335975452			HGDP1KG	WBS_500	eas-nfe
14	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	0.0111360302003719	0.803829832809238	-0.076900569565467	0.0991726299662109	0.000124011168623596	0.0110979111729657	0.977961863213632			0.138205684791432			HGDP1KG	WBS_500	eas-nfe
15	2.45340818976797e-05	7.83038454914981e-12	0.0802999615371376	0.0219032981467306	0.625121079360787	-0.066117639068383	0.109924235361844	0.000479754469704573	0.0115776660563204	0.984194444994487			0.144180219201798			HGDP1KG	WBS_500	eas-nfe
