PC	H	varH	pvalNorm	signal	omega	R2	Ratio	dataset	gwas	contrasts
10	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	2.57158708637606e-05	0.747658521426744	0.880839228858968	HGDP1KG	e50	sas-afr
11	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-8.76535171325882e-05	0.747662402408326	0.880843801161331	HGDP1KG	e50	sas-afr
12	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-3.35149898958504e-05	0.747662969363145	0.880844469108036	HGDP1KG	e50	sas-afr
13	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	6.61212760855671e-05	0.747665178812021	0.880847072126911	HGDP1KG	e50	sas-afr
14	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000784051369345596	0.747975643028711	0.881212839457023	HGDP1KG	e50	sas-afr
15	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.000216390243908284	0.747999289907673	0.881240698563865	HGDP1KG	e50	sas-afr
16	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000308468535000197	0.748047340925438	0.881297308928385	HGDP1KG	e50	sas-afr
17	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.000904084655870246	0.748460135242884	0.881783634460478	HGDP1KG	e50	sas-afr
18	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000843563895536386	0.748819516274252	0.882207032176767	HGDP1KG	e50	sas-afr
19	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.0003315247087446	0.748875022903134	0.882272426223354	HGDP1KG	e50	sas-afr
20	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-6.89669655739804e-05	0.748877424377661	0.882275255473486	HGDP1KG	e50	sas-afr
21	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.000334766657332717	0.748934023268913	0.88234193634757	HGDP1KG	e50	sas-afr
22	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	-0.000487322397765147	0.749053961078532	0.882483238726541	HGDP1KG	e50	sas-afr
23	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.00107424715024565	0.749636788436945	0.88316988535228	HGDP1KG	e50	sas-afr
24	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000269342510301615	0.749673425230126	0.883213048271887	HGDP1KG	e50	sas-afr
25	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.00016132271640833	0.749686569251557	0.88322853364304	HGDP1KG	e50	sas-afr
26	0.000150354124673283	7.80645538183606e-12	0	0.848802479420966	0.000915758570251932	0.750110101648621	0.883727510033111	HGDP1KG	e50	sas-afr
