PC	H	varH	signal	B	pvalB	lcB	ucB	B2	R2	pvalR2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
34	0.00401761408884861	1.64021102350802e-08	0.993319154935768	0.00412619142067824	0.926671097690381	-0.0839151181324576	0.0921675009738141	1.70254556400787e-05	0.992708640517909	0			0.99938537939712			HGDP1KG	e200_500	eurasia-lat
35	0.00401761408884861	1.64021102350802e-08	0.993319154935768	0.00431833427138618	0.923266698441091	-0.0837229038545606	0.0923595723973329	1.86480108794284e-05	0.992727288483647	0			0.999404152784953			HGDP1KG	e200_500	eurasia-lat
36	0.00401761408884861	1.64021102350802e-08	0.993319154935768	0.0224148137731691	0.617061820191904	-0.0656051252661927	0.110434752812531	0.000502423876485852	0.993229711096607	0			0.999909954581348			HGDP1KG	e200_500	eurasia-lat
37	0.00401761408884861	1.64021102350802e-08	0.993319154935768	0.0354258385879691	0.42928760056187	-0.0525609571486969	0.123412634324635	0.00125499003966084	0.994484700615323	0			1.00117338488215			HGDP1KG	e200_500	eurasia-lat
38	0.00401761408884861	1.64021102350802e-08	0.993319154935768	0.0067934719277787	0.879559071464028	-0.081246555457176	0.0948334993127334	4.61512608335173e-05	0.99453085198472	0			1.00121984665546			HGDP1KG	e200_500	eurasia-lat
39	0.00401761408884861	1.64021102350802e-08	0.993319154935768	0.00491128143209146	0.912769924952413	-0.0831297157785169	0.0929522786426998	2.41206853052064e-05	0.994554972655505	0			1.00124412955654			HGDP1KG	e200_500	eurasia-lat
40	0.00401761408884861	1.64021102350802e-08	0.993319154935768	-0.000814370679134673	0.985507776169771	-0.0888564005188117	0.0872276591605424	6.63199603034268e-07	0.994555635853334	0			1.00124479721489			HGDP1KG	e200_500	eurasia-lat
1	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.40908576185669	1.35544496578029e-21	0.328747740490185	0.489423783223194	0.167351160553868	0.167351160553868	1.35544496578028e-21			0.168450764623943			HGDP1KG	e200_500	eurasia-long
2	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.867057688167443	8.41769215896657e-153	-0.910920924589714	-0.823194451745172	0.751789034610271	0.919140209301281	3.72867296134655e-272			0.925179547850067			HGDP1KG	e200_500	eurasia-long
3	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.00706681181599289	0.87475215901586	-0.0809730487882735	0.0951066724202592	4.99398292426567e-05	0.91919014851048	1.91983799429636e-270			0.925229815191784			HGDP1KG	e200_500	eurasia-long
4	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0171907887519472	0.701375788643167	-0.105219837588785	0.0708382600848903	0.000295523217914075	0.919485670806529	3.65288630561276e-269			0.92552727925817			HGDP1KG	e200_500	eurasia-long
5	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.00904965218912663	0.840030837604841	-0.078988801616223	0.0970881059944763	8.18962047441644e-05	0.919567563656597	1.13714186397757e-267			0.925609710196597			HGDP1KG	e200_500	eurasia-long
6	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0119307216562563	0.790146174586564	-0.0999665144210385	0.0761050711085258	0.000142342119239064	0.919709900347421	2.5981363712279e-266			0.92575298213044			HGDP1KG	e200_500	eurasia-long
7	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.00208267741329317	0.96294873691159	-0.0859591906777054	0.0901245455042917	4.33754520784152e-06	0.919714237491109	8.20446115086978e-265			0.925757347771933			HGDP1KG	e200_500	eurasia-long
8	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.0219384740849425	0.624565411895597	-0.0660823952257023	0.109959343395587	0.000481296645175695	0.920195545266607	5.52494126853501e-264			0.926241818047094			HGDP1KG	e200_500	eurasia-long
9	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.00849108237227521	0.84978357577623	-0.0795478027556168	0.0965299675001672	7.20984798527628e-05	0.920267643105051	1.21628029533384e-262			0.926314389614411			HGDP1KG	e200_500	eurasia-long
10	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.190361192885478	1.82576491524349e-05	-0.276793325520595	-0.103929060250361	0.0362373837567823	0.95650509339057	0			0.962789943105735			HGDP1KG	e200_500	eurasia-long
11	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0630478080693146	0.159230574503649	-0.15091470812364	0.0248190919850108	0.00397502610234513	0.960480181808304	0			0.966791150394641			HGDP1KG	e200_500	eurasia-long
12	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.0986763169149141	0.0273606220969645	0.0110639398416865	0.186288693988142	0.00973701551989257	0.970217209885601	0			0.976592156968823			HGDP1KG	e200_500	eurasia-long
13	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00981124136392937	0.82677297524977	-0.0978490628119367	0.078226580084078	9.62604571012787e-05	0.970313465894859	0			0.976689045441574			HGDP1KG	e200_500	eurasia-long
14	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.0407150493083646	0.363606574667564	-0.0472540051267692	0.128684103743498	0.00165771524018256	0.97197117659521	0			0.978357648360581			HGDP1KG	e200_500	eurasia-long
15	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.0517247956363744	0.248303565496416	-0.0361994082554273	0.139648999528176	0.0026754544836247	0.974646649575221	0			0.981050700907824			HGDP1KG	e200_500	eurasia-long
16	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.019283999849596	0.66707627650334	-0.107309687144904	0.0687416874457121	0.000371872650199218	0.975018526426033	0			0.981425021227192			HGDP1KG	e200_500	eurasia-long
17	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00384821642890484	0.931598629828668	-0.0918896235636152	0.0841931907058056	1.48087696836931e-05	0.975033335299911	0			0.981439927404835			HGDP1KG	e200_500	eurasia-long
18	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00837721803924214	0.851774535387259	-0.0964161877212351	0.0796617516427509	7.0177782077004e-05	0.975103513677325	0			0.981510566899036			HGDP1KG	e200_500	eurasia-long
19	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00933058442225364	0.835134846264887	-0.0973688109109731	0.0787076420664658	8.70598056608023e-05	0.975190573812102	0			0.981598199074534			HGDP1KG	e200_500	eurasia-long
20	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.010360088002487	0.817248769404628	-0.077677246065378	0.098397422070352	0.000107331423419275	0.975297908593499	0			0.981706239114037			HGDP1KG	e200_500	eurasia-long
21	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0961329611088689	0.0316187130810745	-0.183767253479371	-0.00849866873836648	0.0092415462115593	0.984539391245918	0			0.991008444213223			HGDP1KG	e200_500	eurasia-long
22	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.000687755589333478	0.987760776634028	-0.0887297938014541	0.0873542826227871	4.7300775065944e-07	0.984539864224391	0			0.991008920299466			HGDP1KG	e200_500	eurasia-long
23	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.0670756457044586	0.134187751626128	-0.0207681331822439	0.154919424591161	0.00449914224667006	0.989039007699174	0			0.995537626022043			HGDP1KG	e200_500	eurasia-long
24	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.0143718351303368	0.748531557281761	-0.0736611309064914	0.102404801167165	0.000206549645013582	0.989245558199681	0			0.995745533691334			HGDP1KG	e200_500	eurasia-long
25	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0116818302956296	0.794425074873533	-0.0997178817882839	0.0763542211970247	0.00013646515905589	0.989382022601314	0			0.995882894751292			HGDP1KG	e200_500	eurasia-long
26	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00589188332081236	0.895444720544554	-0.0939324141832174	0.0821486475415927	3.47142890660668e-05	0.989416736572026	0			0.995917836814976			HGDP1KG	e200_500	eurasia-long
27	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00612223615761052	0.891381754153823	-0.0941626451902116	0.0819181728749906	3.74817755695536e-05	0.989454218110526	0			0.995955564631136			HGDP1KG	e200_500	eurasia-long
28	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0268388561921948	0.549345701980728	-0.114849200101339	0.0611714877169493	0.000720324201705312	0.990174541947417	0			0.996680621455956			HGDP1KG	e200_500	eurasia-long
29	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0198971198999965	0.657155733473733	-0.107921749486955	0.068127509686962	0.000395895380314835	0.990570437381853	0			0.997079118176392			HGDP1KG	e200_500	eurasia-long
30	0.00407354012181412	1.70876534642019e-08	0.993472252426224	8.1876129699354e-06	0.999854288437059	-0.0880338714184902	0.0880502466444301	6.70370061454544e-11	0.990570437448907	0			0.997079118243887			HGDP1KG	e200_500	eurasia-long
31	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.0596339048237272	0.183089596352232	-0.0282514670840011	0.147519276731456	0.00355620260452536	0.994126641057142	0			1.00065868838241			HGDP1KG	e200_500	eurasia-long
32	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00077477172014258	0.986212392119626	-0.0888168043299928	0.0872672608897077	6.00271218332693e-07	0.994127241321002	0			1.00065929259039			HGDP1KG	e200_500	eurasia-long
33	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00778278640850938	0.862183406910656	-0.0958221789711184	0.0802566061540997	6.05717642804783e-05	0.994187813414404	0			1.00072026268115			HGDP1KG	e200_500	eurasia-long
34	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00510576709265222	0.909330212678289	-0.0931466785416342	0.0829351443563298	2.60688576044103e-05	0.994213882226499	0			1.000746502782			HGDP1KG	e200_500	eurasia-long
35	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.000220999477174277	0.99606697953249	-0.0882630563615645	0.087821057407216	4.88407689113036e-08	0.994213931064628	0			1.00074655194103			HGDP1KG	e200_500	eurasia-long
36	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0167044102994749	0.709436430280182	-0.104734184966625	0.0713253643676751	0.000279037323453204	0.994492967195882	0			1.00102742151798			HGDP1KG	e200_500	eurasia-long
37	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.015791709605434	0.724649637054494	-0.103822790074989	0.0722393708641207	0.000249378092262357	0.994742345267001	0			1.00127843816239			HGDP1KG	e200_500	eurasia-long
38	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.0017142521894352	0.969499571988817	-0.0897561818608877	0.0863276774820174	2.93866056898336e-06	0.994745283952991	0			1.00128139615743			HGDP1KG	e200_500	eurasia-long
39	0.00407354012181412	1.70876534642019e-08	0.993472252426224	-0.00829964990945536	0.853131382911972	-0.096338676538744	0.0797393767198333	6.88841886195223e-05	0.994814168129122	0			1.00135073294661			HGDP1KG	e200_500	eurasia-long
40	0.00407354012181412	1.70876534642019e-08	0.993472252426224	0.00108959284810905	0.980610869380703	-0.0869524139239668	0.089131599620185	1.18721257465039e-06	0.994815355339332	0			1.00135192795755			HGDP1KG	e200_500	eurasia-long
1	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.682204482816015	9.92687026757759e-70	-0.746577441015554	-0.617831524616475	0.465402956374266	0.465402956374266	9.92687026757872e-70			0.508637330272524			HGDP1KG	e200_500	eur-lat
2	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.372220490235536	7.07281503826931e-18	-0.453936228572727	-0.290504751898345	0.138548093351183	0.603951039604666	1.09798420130673e-100			0.660056065808049			HGDP1KG	e200_500	eur-lat
3	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.00494808307156137	0.91211891682018	-0.0830928981662283	0.0929890643093511	2.44835260830722e-05	0.603975523894359	2.37946900919699e-99			0.660082824606145			HGDP1KG	e200_500	eur-lat
4	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.033507108605685	0.454715705493316	-0.0544855129798622	0.121499730191232	0.00112272632711317	0.605098259829144	2.0385934557659e-98			0.661309858944129			HGDP1KG	e200_500	eur-lat
5	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.00121409951831883	0.978395805295716	-0.0892560936640516	0.086827894627414	1.47403764038202e-06	0.605099732975543	2.98913338689891e-97			0.661311468940888			HGDP1KG	e200_500	eur-lat
6	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0505327703830166	0.259387652010902	-0.0373968064189514	0.138462347184985	0.00255356088258268	0.607653258811646	7.89071675521921e-97			0.664102208763806			HGDP1KG	e200_500	eur-lat
7	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.00217466218263705	0.961313560838364	-0.0858671886692294	0.0902165130345035	4.72915560859174e-06	0.607657988396919	9.26800780972661e-96			0.664107377711689			HGDP1KG	e200_500	eur-lat
8	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.00359201730717831	0.936142471560725	-0.0844494737401788	0.0916335083545354	1.29025883350685e-05	0.607670891586353	9.95852149621852e-95			0.664121479564151			HGDP1KG	e200_500	eur-lat
9	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.0202767219601555	0.651043524842205	-0.108300680087707	0.0677472361673959	0.000411145453449451	0.608082035674858	7.78028860995724e-94			0.664570817559688			HGDP1KG	e200_500	eur-lat
10	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0281161451909532	0.530497614733088	-0.0598911075638523	0.116123397945759	0.00079051762039876	0.608872550250161	4.51902824234271e-93			0.665434768288012			HGDP1KG	e200_500	eur-lat
11	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.0339993099689331	0.448113294901049	-0.121990468044728	0.0539918481068616	0.00115595307836359	0.610028514060357	1.9837287818469e-92			0.6666981172596			HGDP1KG	e200_500	eur-lat
12	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.038489714826389	0.390439646537829	-0.126466534376617	0.0494871047238394	0.00148145814741675	0.611509977020974	6.78496640576719e-92			0.668317203161109			HGDP1KG	e200_500	eur-lat
13	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0421240977676956	0.347226172815588	-0.04583981392582	0.130088009461211	0.00177443961274238	0.613284429827348	1.85274648842249e-91			0.670256496682491			HGDP1KG	e200_500	eur-lat
14	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.021350194441533	0.633886121367603	-0.109372185047511	0.0666717961644454	0.000455830802691266	0.613740261210092	1.09940390545376e-90			0.670754673272042			HGDP1KG	e200_500	eur-lat
15	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.208980370959271	2.43630375921508e-06	-0.295078446842304	-0.122882295076238	0.0436727954462743	0.657413019883475	3.18106887296749e-102			0.7184844847677			HGDP1KG	e200_500	eur-lat
16	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.283053629478141	1.1505857581177e-10	-0.36749512781104	-0.198612131145242	0.0801193571607487	0.737532418172824	6.50951671272157e-129			0.806046706474268			HGDP1KG	e200_500	eur-lat
17	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.0143180446540287	0.749441211942421	-0.102351078632963	0.0737149893249051	0.000205006402714761	0.737737426479774	5.06138373356826e-128			0.806270759365428			HGDP1KG	e200_500	eur-lat
18	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0524822009729736	0.241434868403778	-0.0354385237478352	0.140402925693782	0.00275438141896759	0.740491816126692	3.734319548435e-128			0.809281022573581			HGDP1KG	e200_500	eur-lat
19	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.0744168904425104	0.0964821522723044	-0.0133810472479294	0.16221482813295	0.00553787358313259	0.746029671686284	1.99034079545106e-129			0.815333326343222			HGDP1KG	e200_500	eur-lat
20	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.114802838798362	0.0101950150259174	-0.20226278986864	-0.0273428877280843	0.0131796917961627	0.759209372369474	5.82961836393401e-134			0.829737377021185			HGDP1KG	e200_500	eur-lat
21	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.0102033616870922	0.819965783623116	-0.0982408376349146	0.0778341142607303	0.00010410858971762	0.759313478698334	4.63750273962835e-133			0.829851154478871			HGDP1KG	e200_500	eur-lat
22	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.0637081655734176	0.15489923464458	-0.151571373457152	0.0241550423103163	0.00405873036072999	0.763372208017281	7.269914600231e-134			0.834286926140424			HGDP1KG	e200_500	eur-lat
23	0.000249215416657905	2.37637974835628e-10	0.91499960517036	-0.0506155862949658	0.258606716209631	-0.138544793873774	0.0373136212838424	0.00256193757598312	0.765934146891763	4.77940715725577e-134			0.837086860544772			HGDP1KG	e200_500	eur-lat
24	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.228710881251316	2.34078036894126e-07	0.143002430451465	0.314419332051168	0.0523086672027537	0.818242792776832	6.68908488901488e-159			0.894254804213261			HGDP1KG	e200_500	eur-lat
25	0.000249215416657905	2.37637974835628e-10	0.91499960517036	0.00326741511471496	0.941902442411604	-0.0847741739498633	0.0913090041792932	1.06760015318678e-05	0.818253468257794	6.29923142014935e-158			0.894266471410605			HGDP1KG	e200_500	eur-lat
