PC	H	varH	signal	B	lcB	ucB	B2	R2	lcR2	ucR2	Ratio	lcRatio	ucRatio	dataset	gwas	contrasts
1	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.382199828648229	0.376472301976156	0.387927355320302	0.146076709018736	0.146076709018736			0.483543823952359			InUKBB	e10	NorthernIreland-Scotland
2	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.0155385255494186	-0.0217358645776699	-0.00934118652116731	0.000241445776249934	0.146318154809627			0.484343058969283			InUKBB	e10	NorthernIreland-Scotland
3	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.0336019737084143	-0.039796560937196	-0.0274073864796325	0.00112909263710096	0.147447247450568			0.488080586853535			InUKBB	e10	NorthernIreland-Scotland
4	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.000652848962852348	-0.00554523704072353	0.00685093496642823	4.26211768297387e-07	0.14744767366186			0.488081997700201			InUKBB	e10	NorthernIreland-Scotland
5	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.0846250157350769	0.0784491617580925	0.0908008697120613	0.00716139328816202	0.154609067096394			0.511787676650825			InUKBB	e10	NorthernIreland-Scotland
6	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.0694042871623157	-0.075587428512391	-0.0632211458122405	0.00481695507650918	0.15942602254016			0.52773278570163			InUKBB	e10	NorthernIreland-Scotland
7	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.0213965396267712	-0.0275932080096834	-0.0151998712438589	0.000457811907999989	0.159883834241899			0.529248236196073			InUKBB	e10	NorthernIreland-Scotland
8	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00423307205299423	-0.01043110384572	0.0019649597397315	1.79188990058408e-05	0.159901753147836			0.529307551444589			InUKBB	e10	NorthernIreland-Scotland
9	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00107582443749573	-0.00727390817509197	0.00512225930010052	1.157398220313e-06	0.159902910553701			0.529311382695044			InUKBB	e10	NorthernIreland-Scotland
10	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00808044436743312	0.00188255939397025	0.014278329340896	6.52935811751816e-05	0.159968204164217			0.529527517918247			InUKBB	e10	NorthernIreland-Scotland
11	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.0146924915272912	0.00849507322738232	0.0208899098272001	0.000215869307279524	0.160184073522654			0.530242089705591			InUKBB	e10	NorthernIreland-Scotland
12	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00246867453523308	-0.00372939390249403	0.00866674297296019	6.09435396090824e-06	0.160190167863564			0.530262263222149			InUKBB	e10	NorthernIreland-Scotland
13	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00887369490675686	-0.0150715382000521	-0.00267585161346158	7.87424612982025e-05	0.160268910329316			0.530522916910564			InUKBB	e10	NorthernIreland-Scotland
14	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00438120730179724	-0.00181682053626908	0.0105792351398636	1.91949774213214e-05	0.160288105283233			0.530586456139234			InUKBB	e10	NorthernIreland-Scotland
15	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.000669092825269562	-0.0068671787622983	0.00552899311175918	4.47685208827205e-07	0.160288552965			0.53058793805757			InUKBB	e10	NorthernIreland-Scotland
16	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00692347869663682	-0.0131214174679956	-0.000725539925278036	4.79345572627839e-05	0.160336487520975			0.530746611255037			InUKBB	e10	NorthernIreland-Scotland
17	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00159851704423697	-0.0077965964498046	0.00459956236133067	2.55525674071609e-06	0.160339042787301			0.530755069709904			InUKBB	e10	NorthernIreland-Scotland
18	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00376182856239074	-0.00243621490621467	0.00995987203099616	1.41513541328188e-05	0.160353194127958			0.530801913545731			InUKBB	e10	NorthernIreland-Scotland
19	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00414926771543193	-0.0103473016851819	0.00204876625431806	1.72164225743257e-05	0.160370410575573			0.530858903513335			InUKBB	e10	NorthernIreland-Scotland
20	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00558454169236425	-0.0117825323658327	0.000613448981104155	3.11871059137546e-05	0.160401597713501			0.530962139327127			InUKBB	e10	NorthernIreland-Scotland
21	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.0029307546392289	-0.00326730606645259	0.0091288153449104	8.58932275536173e-06	0.160410187037608			0.530990571749052			InUKBB	e10	NorthernIreland-Scotland
22	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.0034183219890662	-0.00277972912315947	0.00961637310129187	1.16849252209335e-05	0.160421871971915			0.53102925127473			InUKBB	e10	NorthernIreland-Scotland
23	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.0061120627594804	-0.0123100343108856	8.59087919248156e-05	3.73573111758271e-05	0.160459229295537			0.531152911666849			InUKBB	e10	NorthernIreland-Scotland
24	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.0018347122928312	-0.0043633645996796	0.00803278918534201	3.36616919746593e-06	0.160462595470217			0.531164054394446			InUKBB	e10	NorthernIreland-Scotland
25	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00147830313250516	-0.00471977741932753	0.00767638368433786	2.18538015157458e-06	0.160464780849954			0.531171288448948			InUKBB	e10	NorthernIreland-Scotland
26	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00123392917767432	-0.00496415342820312	0.00743201178355176	1.52258121551603e-06	0.16046630343506			0.531176328517482			InUKBB	e10	NorthernIreland-Scotland
27	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00510082975548177	-0.0112988364470256	0.00109717693606208	2.60184641944082e-05	0.160492321887587			0.531262454924029			InUKBB	e10	NorthernIreland-Scotland
28	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-8.8138802880814e-05	-0.00628622610323096	0.00610994849746933	7.76844857326298e-09	0.160492329655998			0.531262480639061			InUKBB	e10	NorthernIreland-Scotland
29	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00440138976031873	-0.00179663752842316	0.0105994170490606	1.93722318222386e-05	0.160511701878273			0.531326606662303			InUKBB	e10	NorthernIreland-Scotland
30	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00102170630618639	-0.00721979039556905	0.00517637778319626	1.04388377610105e-06	0.160512745760374			0.531330062125846			InUKBB	e10	NorthernIreland-Scotland
31	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00525773933149461	-0.0114557409859134	0.000940262322924139	2.76438228779454e-05	0.160540389587966			0.531421568856744			InUKBB	e10	NorthernIreland-Scotland
32	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00669239990138894	0.000494451379156529	0.0128903484236213	4.47882164401107e-05	0.160585177759917			0.5315698268787			InUKBB	e10	NorthernIreland-Scotland
33	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00408391552701678	-0.00211412011020806	0.0102819511642416	1.66783660318087e-05	0.160601856131234			0.531625035703557			InUKBB	e10	NorthernIreland-Scotland
34	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00260851341175806	-0.00880657964919346	0.00358955282567734	6.80434221932167e-06	0.160608660474434			0.531647559473107			InUKBB	e10	NorthernIreland-Scotland
35	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00535750840024183	-0.0115555067724997	0.000840489972016039	2.87028962586617e-05	0.160637363390995			0.531742572005398			InUKBB	e10	NorthernIreland-Scotland
36	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.0007182332757018	-0.00547985245005321	0.00691631900145681	5.15859038325338e-07	0.160637879251928			0.531744279610735			InUKBB	e10	NorthernIreland-Scotland
37	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.000991757099482145	-0.005206327176778	0.00718984137574229	9.83582144373238e-07	0.160638862834533			0.5317475354706			InUKBB	e10	NorthernIreland-Scotland
38	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	0.00528863272588104	-0.000909367918814238	0.0114866333705763	2.79696361092599e-05	0.160666832515075			0.531840120841496			InUKBB	e10	NorthernIreland-Scotland
39	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00601572255774376	-0.0122136977301174	0.000182252614629835	3.61889178917471e-05	0.160703021392432			0.531959913437176			InUKBB	e10	NorthernIreland-Scotland
40	2.56950998290888e-05	1.36608212665794e-12	0.302096111630055	-0.00255815323310289	-0.00875622027689435	0.00363991381068856	6.54414796403479e-06	0.160709565536683			0.531981575894914			InUKBB	e10	NorthernIreland-Scotland
1	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.61775888918342	0.612884914316697	0.622632864050143	0.381626045165133	0.381626045165133			0.530216538347621			InUKBB	e10	NorthernIreland-Wales
2	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.150908614952983	-0.157035720030906	-0.14478150987506	0.0227734100670276	0.404399455461994			0.561857038064424			InUKBB	e10	NorthernIreland-Wales
3	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.0844252206710029	0.078249261646642	0.0906011796953638	0.00712761788534753	0.411527073054983			0.571759875605779			InUKBB	e10	NorthernIreland-Wales
4	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.390252162465924	-0.395958791145903	-0.384545533785945	0.15229675030933	0.563823824221198			0.783355119766848			InUKBB	e10	NorthernIreland-Wales
5	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.0122143489161084	-0.0184119738759737	-0.00601672395624318	0.000149190319444439	0.563973014479349			0.783562398969182			InUKBB	e10	NorthernIreland-Wales
6	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.000222540310106758	-0.00642062748105403	0.00597554686084052	4.9524189622412e-08	0.563973064007414			0.78356246778157			InUKBB	e10	NorthernIreland-Wales
7	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.012445806513244	0.00624819924338404	0.0186434137831039	0.000154898099765106	0.564127962215443			0.783777677389766			InUKBB	e10	NorthernIreland-Wales
8	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00418631938641366	-0.00201171362619634	0.0103843523990237	1.75252700050629e-05	0.564145487459983			0.783802026289982			InUKBB	e10	NorthernIreland-Wales
9	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00129648143877017	-0.00749456355412158	0.00490160067658124	1.68086412107557e-06	0.564147168332507			0.78380436162957			InUKBB	e10	NorthernIreland-Wales
10	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.00951232232525611	-0.0157101292286153	-0.0033145154218969	9.04842760195658e-05	0.564237652573489			0.783930076951248			InUKBB	e10	NorthernIreland-Wales
11	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	-0.0008058783024561	-0.00700396361423826	0.00539220700932606	6.49439838369526e-07	0.564238302010048			0.783930979253405			InUKBB	e10	NorthernIreland-Wales
12	6.72127356319474e-05	3.40316527198944e-12	0.719755076585202	0.00319954638397921	-0.00299850921515372	0.00939760198311215	1.02370970632345e-05	0.564248539074951			0.783945202237356			InUKBB	e10	NorthernIreland-Wales
