H	varH	Signal	PC	B2	R2	Ratio	lc	uc	se	estimate	dataset	gwas	contrasts
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	4	0.00155582631719708	0.0681363899505585	0.112225731047992					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	5	0.00120451082355758	0.0693408991424376	0.114209647787795					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	6	0.00316869414190213	0.0725095914596086	0.119428721061544					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	7	0.00107389299224687	0.0735834843906479	0.121197503049269					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	8	0.000271427186901736	0.0738549112655399	0.121644563415733					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	9	0.00578412161763207	0.0796390329431995	0.131171444487902					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	10	1.0416634676156e-05	0.0796494496294996	0.131188601549436					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	11	0.0318594094054859	0.111508848055976	0.183663413933172					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	12	0.00257474076674523	0.114083587575381	0.187904202519609					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	13	0.00932398178785936	0.123407562854285	0.203261487264335					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	14	0.00208233476816082	0.125489892583587	0.206691240092793					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	15	0.000100304603138933	0.125590197565568	0.20685644990122					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	16	4.68271436116623e-05	0.125637023723338	0.206933576085799					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	17	0.00311127450351581	0.128748299947605	0.212058080759645					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	18	0.00237534946749169	0.131123650349417	0.215970460554523					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	19	0.00376995200203499	0.134893605334307	0.222179858418194					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	20	0.0045620620621193	0.139455670816678	0.229693921523378					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	21	0.000456350949095597	0.139912023043567	0.230445567777533					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	22	0.00546118100399786	0.145373201014701	0.239440536407929					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	23	0.00112585558377901	0.146499055083894	0.241294902277037					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	24	0.0052498965992146	0.15174894970455	0.249941871424588					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	25	0.000510478196346087	0.152259425938056	0.250782663966274					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	26	0.00929642102842103	0.161555851316545	0.266094571964205					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	27	0.00203487365126893	0.163590725248278	0.269446161544235					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	28	0.00355804680177083	0.167148777706634	0.275306540095783					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	29	0.00749701437000043	0.174645785439042	0.287654672628963					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	30	3.70855343397361e-05	0.174682870085024	0.287715753814935					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	31	0.0157109056081956	0.190393769272787	0.313592779997968					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	32	0.00571283931403882	0.196106602281143	0.323002243299195					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	33	0.000181016568478292	0.19628761943655	0.323300392094759					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	34	0.0228406793806423	0.21912828824041	0.360920682162933					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	35	0.00163360019476612	0.220761886178325	0.363611340164539					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	36	0.00284412463488413	0.223606019781277	0.368295840958036					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	37	0.000815415967207433	0.224421435857826	0.369638892231597					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	38	7.23471381062215e-05	0.224493783022144	0.369758053423007					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	39	0.00107167597300338	0.225565457686181	0.371523181759046					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	40	0.000364283420542821	0.225929738504246	0.37212317951566					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	41	1.1637640909032e-05	0.228046473439275	0.37560960029156					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	42	0.00349218839561863	0.23053974277326	0.379716201388405					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	43	0.000875338007308561	0.232591318831202	0.38309530061967					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	44	0.00452109302410778	0.235270098526043	0.387507451157558					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	45	0.00162077329182451	0.235313326629688	0.387578651077849					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	46	0.00674284180950973	0.241586577910708	0.397911165195063					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	47	0.00576321967407181	0.244926218711232	0.403411803408337					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
4.71119259134215e-05	1.08134936878898e-11	0.607136966846049	48	0.00745791195776718	0.259756193932809	0.427837881923396					InUKBB	e5_500	NorthernIreland-RepublicOfIrelend
