#FID	IID	SEX
2596312	2596312	1
5201202	5201202	1
2704807	2704807	2
5374684	5374684	2
1803106	1803106	1
5059373	5059373	2
3049229	3049229	1
1992303	1992303	2
4228083	4228083	1
2556932	2556932	2
1515558	1515558	1
3880352	3880352	1
3351349	3351349	2
4763960	4763960	1
2179322	2179322	2
2955746	2955746	2
4200506	4200506	1
2501809	2501809	2
5518592	5518592	1
1253758	1253758	2
2623502	2623502	2
3263278	3263278	2
3854448	3854448	2
5179617	5179617	1
5230845	5230845	2
2394139	2394139	1
5056757	5056757	1
1346975	1346975	2
5948376	5948376	1
5696000	5696000	2
3113775	3113775	2
4884506	4884506	2
2229765	2229765	2
3992472	3992472	1
3063785	3063785	1
4617132	4617132	2
4405492	4405492	1
5198345	5198345	2
4415625	4415625	2
1933772	1933772	1
4023112	4023112	2
4550244	4550244	1
4656102	4656102	2
5883819	5883819	2
3597901	3597901	2
3327442	3327442	2
3778990	3778990	1
1216510	1216510	2
1014717	1014717	1
2343826	2343826	1
4009223	4009223	1
1694422	1694422	1
4750148	4750148	2
4319441	4319441	2
1605780	1605780	1
5140030	5140030	1
2972109	2972109	2
4740295	4740295	1
3908028	3908028	1
5699277	5699277	2
3350269	3350269	2
3952937	3952937	1
4176982	4176982	1
3963593	3963593	1
5976748	5976748	2
1545183	1545183	1
3158360	3158360	2
4809166	4809166	2
4568158	4568158	1
4429707	4429707	2
4447766	4447766	1
4548172	4548172	2
4742625	4742625	1
5344235	5344235	1
5056696	5056696	1
2661576	2661576	1
2278171	2278171	2
4189286	4189286	2
4961096	4961096	2
3461497	3461497	1
4065883	4065883	1
2144050	2144050	1
3846460	3846460	2
1661747	1661747	1
1926561	1926561	1
2408114	2408114	2
5133931	5133931	2
3366612	3366612	1
1026509	1026509	2
2128090	2128090	2
1209278	1209278	1
1747879	1747879	1
1925528	1925528	2
4288261	4288261	2
4033996	4033996	2
3259440	3259440	2
4432708	4432708	2
5160145	5160145	2
4049786	4049786	1
3652198	3652198	1
3053716	3053716	2
4439573	4439573	2
3737112	3737112	2
1901004	1901004	2
2517690	2517690	1
1912504	1912504	2
5693380	5693380	2
1186349	1186349	1
5296286	5296286	2
4199279	4199279	1
5795248	5795248	1
5079796	5079796	2
3586423	3586423	2
3269168	3269168	2
4974336	4974336	2
3444611	3444611	2
2333322	2333322	2
5590396	5590396	2
3501852	3501852	2
4936620	4936620	2
2129279	2129279	2
1965754	1965754	2
2398477	2398477	1
4887556	4887556	1
5632213	5632213	1
4760847	4760847	2
5369688	5369688	1
3665471	3665471	1
3581286	3581286	2
1441928	1441928	2
5611959	5611959	1
2994804	2994804	2
3160402	3160402	1
4725650	4725650	1
4676538	4676538	2
2770588	2770588	2
1877567	1877567	2
1007475	1007475	1
4792936	4792936	1
2917152	2917152	1
2825364	2825364	1
1272949	1272949	1
4805519	4805519	1
2464774	2464774	2
4162503	4162503	1
1631905	1631905	1
2696853	2696853	2
1766201	1766201	2
3860540	3860540	2
4390666	4390666	1
5499215	5499215	2
3562788	3562788	2
4332437	4332437	1
2182457	2182457	2
3663612	3663612	1
1017300	1017300	1
5924801	5924801	1
4140261	4140261	1
3590409	3590409	1
2115721	2115721	1
3516082	3516082	2
4659113	4659113	2
3614120	3614120	1
3282676	3282676	1
5565845	5565845	2
3935041	3935041	2
3903458	3903458	2
4322568	4322568	1
5155028	5155028	1
1634070	1634070	1
1016725	1016725	1
3633717	3633717	2
5841948	5841948	2
5380573	5380573	2
1880938	1880938	1
1506240	1506240	2
5262025	5262025	2
3946185	3946185	1
5498260	5498260	2
5405779	5405779	1
3062318	3062318	1
1678167	1678167	1
2894973	2894973	2
1939897	1939897	1
2534787	2534787	2
5214289	5214289	2
3213726	3213726	1
5349095	5349095	1
3915465	3915465	2
3955628	3955628	1
1698997	1698997	2
5192136	5192136	1
2859305	2859305	1
5401748	5401748	1
2783177	2783177	2
6021606	6021606	1
5999677	5999677	2
4479384	4479384	2
3247856	3247856	1
3563127	3563127	2
4634411	4634411	2
