H	L	varH	pvalNorm	sigma2r	sigma2F	N	dataset	gwas	contrasts
1.08313552825046e-05	110816	2.3123618788108e-13	8.5441368187627e-05	0.00323478625632183	0.00334839906696665	689	HGDP1KG	ALL	sdi-eur
8.88220258619129e-06	113970	2.39421369744221e-13	0.412683950947267	0.0148215749144937	0.000599275221252338	2224	HGDP1KG	ALL	eurasia-lat
9.15298975731331e-06	113970	2.31729169187989e-13	0.21570000933259	0.0426398411515912	0.000214658157960134	2224	HGDP1KG	ALL	eurasia-long
8.64241263030095e-06	137565	1.89836348745787e-13	0.000812129469668539	0.00466544994987089	0.00185242853811777	510	HGDP1KG	ALL	eur-lat
8.33710808515594e-06	137565	1.34781613749656e-13	0.00181534901032894	0.00436100864620153	0.00191173849022694	510	HGDP1KG	ALL	eur-long
9.39779630342872e-06	110816	2.30363601135005e-13	0.218027794237053	0.0721984316134532	0.000130166211279271	1514	HGDP1KG	ALL	eas-nfe
9.96214376428784e-06	110816	2.17216469734698e-13	0.0220587245333838	0.0496985398837303	0.000200451437559217	1615	HGDP1KG	ALL	eas-sas
8.59410922632782e-06	110816	2.06267982713706e-13	0.828047034105221	0.0892672277167423	9.6273956816472e-05	1828	HGDP1KG	ALL	eas-afr
1.00060642900218e-05	110816	2.14572143640479e-13	0.0169965004795182	0.0567763216860065	0.000176236571741279	1377	HGDP1KG	ALL	eas-amr
9.11803036829363e-06	110816	2.7665033802094e-13	0.429033733605005	0.0246398234206684	0.000370052585711521	1479	HGDP1KG	ALL	nfe-sas
8.34134699691598e-06	110816	2.48047582428276e-13	0.914750750273264	0.0870559390052914	9.58159442333852e-05	1692	HGDP1KG	ALL	nfe-afr
9.53110557373221e-06	110816	2.35499364292668e-13	0.148003187813768	0.0237915749491905	0.000400608433619336	1241	HGDP1KG	ALL	nfe-amr
8.54568540980371e-06	110816	2.31915485819519e-13	0.839684099464493	0.0758414719400758	0.000112678264163384	1793	HGDP1KG	ALL	sas-afr
9.8374760410888e-06	110816	2.10723011182861e-13	0.0381829439775726	0.022607385434674	0.000435144350040611	1342	HGDP1KG	ALL	sas-amr
8.89541963973362e-06	110816	2.36214050820298e-13	0.604299581508675	0.0803424735293137	0.000110718767408724	1555	HGDP1KG	ALL	afr-amr
1.24272371436811e-05	109217	2.59866869281904e-13	6.95373908753698e-11	0.00310500354771006	0.00400232623014108	689	HGDP1KG	e5	sdi-eur
1.28456772310019e-05	112644	2.41116032154506e-13	3.20694281293499e-16	0.0147033059914984	0.000873659110300049	2224	HGDP1KG	e5	eurasia-lat
1.22609569812866e-05	112644	2.32787129252577e-13	1.16980758698935e-12	0.0422563209004547	0.00029015675572349	2224	HGDP1KG	e5	eurasia-long
1.11412814203513e-05	136441	2.07339482133565e-13	2.83485024254734e-17	0.00453815173051901	0.0024550262049253	510	HGDP1KG	e5	eur-lat
9.59968015877438e-06	136441	1.48071656921483e-13	1.81235689686726e-09	0.00412130219751155	0.00232928324561366	510	HGDP1KG	e5	eur-long
1.20762799916641e-05	109217	2.33761990792459e-13	7.71358635918023e-10	0.0715123652994992	0.000168869816305023	1514	HGDP1KG	e5	eas-nfe
1.15539997805149e-05	109217	2.25548140886864e-13	2.21943158427109e-07	0.0494395088742518	0.000233699728083913	1615	HGDP1KG	e5	eas-sas
1.10093231852034e-05	109217	2.02001699679242e-13	1.86671431280271e-05	0.0894465239447892	0.000123082739268872	1828	HGDP1KG	e5	eas-afr
1.17433922538892e-05	109217	2.22729786159712e-13	2.09971687978597e-08	0.0564924583974712	0.000207875397655112	1377	HGDP1KG	e5	eas-amr
1.41178144685253e-05	109217	2.84549204061282e-13	6.92179476106655e-21	0.0240643816053009	0.000586668492051149	1479	HGDP1KG	e5	nfe-sas
1.23470802838839e-05	109217	2.31455270346043e-13	1.64759034199233e-11	0.0866395374042195	0.000142510921154602	1692	HGDP1KG	e5	nfe-afr
1.22550993538042e-05	109217	2.38218816401736e-13	1.08046915175883e-10	0.0232002596005524	0.000528231130375473	1241	HGDP1KG	e5	nfe-amr
1.18594796561106e-05	109217	2.20357005819846e-13	4.23097080270019e-09	0.0757565623555843	0.000156547225578225	1793	HGDP1KG	e5	sas-afr
1.19055544048048e-05	109217	2.23630123384155e-13	3.04769749521476e-09	0.0223791469693097	0.00053199321766517	1342	HGDP1KG	e5	sas-amr
1.19855868666746e-05	109217	2.25948675780654e-13	1.31973642944889e-09	0.0803159584238478	0.000149230453099042	1555	HGDP1KG	e5	afr-amr
1.19678535639113e-05	109284	2.60318206315829e-13	1.6761459010679e-08	0.00310783189840907	0.00385086901580415	689	HGDP1KG	e10	sdi-eur
1.38324327726156e-05	112702	2.42039844351423e-13	3.36095613820281e-24	0.014705528139849	0.000940628084967078	2224	HGDP1KG	e10	eurasia-lat
1.33671470943927e-05	112702	2.33882410689585e-13	7.50492993900553e-21	0.0422613196832442	0.000316297436866187	2224	HGDP1KG	e10	eurasia-long
9.959387507492e-06	136493	2.06845915790583e-13	3.53343862992563e-09	0.00454239355246361	0.00219254174973246	510	HGDP1KG	e10	eur-lat
9.73692983451773e-06	136493	1.48178593284555e-13	1.8986382702776e-10	0.00413199205671139	0.00235647351226208	510	HGDP1KG	e10	eur-long
1.31356378872142e-05	109284	2.34651576031967e-13	9.60811731969013e-17	0.071525209815752	0.000183650462837529	1514	HGDP1KG	e10	eas-nfe
1.22303118046108e-05	109284	2.25459248699193e-13	4.39967139866246e-11	0.0494433868260559	0.000247359911804537	1615	HGDP1KG	e10	eas-sas
1.13933319386063e-05	109284	2.02910738397257e-13	3.19419960488805e-07	0.0894321981285566	0.000127396308902401	1828	HGDP1KG	e10	eas-afr
1.24407560051176e-05	109284	2.23188263051672e-13	1.64636220429269e-12	0.0564959178282368	0.000220206281858115	1377	HGDP1KG	e10	eas-amr
1.5379494030265e-05	109284	2.86020270720787e-13	1.1855960433218e-31	0.0240764396715095	0.000638777752861198	1479	HGDP1KG	e10	nfe-sas
