H	L	varH	pvalNorm	sigma2r	sigma2F	N	dataset	gwas	contrasts
3.32716334278105e-05	109506	3.0350749255518e-13	0	0.410188038900577	8.11131244026233e-05	1615	HGDP1KG	e50	eas-sas
6.14391387822626e-05	109506	6.81810764300757e-13	0	0.421655749541024	0.000145709239940733	1828	HGDP1KG	e50	eas-afr
4.00993279528542e-05	109506	3.69942458345834e-13	0	0.543459878150543	7.3785259160836e-05	1377	HGDP1KG	e50	eas-amr
0.000191908567352656	109506	4.87281718852189e-12	0	0.165653540351043	0.0011584936062699	1479	HGDP1KG	e50	nfe-sas
0.000128382653630851	109506	2.48893602437829e-12	0	0.580424511829933	0.000221187511923114	1692	HGDP1KG	e50	nfe-afr
0.000126147849388609	109506	3.62134940555848e-12	0	0.117873169187259	0.00107019986192282	1241	HGDP1KG	e50	nfe-amr
9.03761427491537e-05	109506	1.39737428772751e-12	0	0.453174564903206	0.000199428983328879	1793	HGDP1KG	e50	sas-afr
7.27016020145904e-05	109506	9.89922473481349e-13	0	0.148074134483182	0.000490981103947277	1342	HGDP1KG	e50	sas-amr
8.73359382467119e-05	109506	1.39011383502569e-12	0	0.57176354361552	0.000152748350645876	1555	HGDP1KG	e50	afr-amr
5.38763486442578e-05	110766	4.9997385740943e-12	8.71521445125591e-90	0.0232722964890134	0.00231504220778952	689	HGDP1KG	e200	sdi-eur
0.00234419029416186	113925	5.11260626550464e-10	0	0.160656638204301	0.0145913067792495	2224	HGDP1KG	e200	eurasia-lat
0.00229147446188728	113925	5.67641199144009e-10	0	0.385652870227585	0.00594180580202868	2224	HGDP1KG	e200	eurasia-long
0.00017523549353566	137497	3.26211692723512e-11	2.18113881409305e-190	0.0528647274030415	0.00331479044996603	510	HGDP1KG	e200	eur-lat
0.000313192431063847	137497	1.20943829665086e-10	1.33882355912107e-170	0.0432593067539007	0.00723988557758398	510	HGDP1KG	e200	eur-long
0.00197794166050171	110766	5.82984981601526e-10	0	0.543422834648457	0.00363978385593835	1514	HGDP1KG	e200	eas-nfe
0.00102258810472983	110766	1.69900289401147e-10	0	0.410522712572298	0.00249094160545317	1615	HGDP1KG	e200	eas-sas
0.00277526060263464	110766	1.05470046012176e-09	0	0.42299305339651	0.0065610075161994	1828	HGDP1KG	e200	eas-afr
0.00105175190626801	110766	1.47882017330445e-10	0	0.543335724716477	0.00193573118501795	1377	HGDP1KG	e200	eas-amr
0.00310052650621151	110766	1.50412219059125e-09	0	0.167982490467866	0.018457438615036	1479	HGDP1KG	e200	nfe-sas
0.00545554150139576	110766	2.15355945340153e-09	0	0.580210744029608	0.00940268955294866	1692	HGDP1KG	e200	nfe-afr
0.00282785785675914	110766	1.93824460794122e-09	0	0.120211243220825	0.023524071301421	1241	HGDP1KG	e200	nfe-amr
0.00469103312530715	110766	2.01556230851982e-09	0	0.453397279344067	0.0103464077510428	1793	HGDP1KG	e200	sas-afr
0.000549397507371358	110766	5.24380068307436e-11	0	0.149388341574918	0.00367764647213675	1342	HGDP1KG	e200	sas-amr
0.00401922710645688	110766	1.30487976869454e-09	0	0.570304689209606	0.00704750843277685	1555	HGDP1KG	e200	afr-amr
