H	L	meanH	varH	pvalNorm	pvalSim	dataset	gwas	contrasts	nsnp	method
4.37144174479016e-05	25119	4.37873250559861e-05	3.66305059593097e-12	0.0206871477175708	0.515193451092423	HGDP1KG	e10	eas-sas	25119	BJ
6.72187588858682e-05	15849	6.73320046304594e-05	9.10540146776735e-12	0.0858983096088622	0.514968575412201	HGDP1KG	e10	eas-sas	15849	BJ
0.000104134023305258	10000	0.000104311394533191	2.36439160591224e-11	0.197611240843465	0.514549136909349	HGDP1KG	e10	eas-sas	10000	BJ
0.000162221646439278	6310	0.000162500929304785	6.70459628074826e-11	0.323789352403462	0.513604539348054	HGDP1KG	e10	eas-sas	6310	BJ
0.000255692411071714	3981	0.0002561320399161	1.87991891904909e-10	0.371399830099739	0.512789461966295	HGDP1KG	e10	eas-sas	3981	BJ
0.000403526687933897	2512	0.000404225384810995	5.64295832150016e-10	0.409473047724342	0.511732291140341	HGDP1KG	e10	eas-sas	2512	BJ
0.000636075197773001	1585	0.000637177880679453	1.70551598880057e-09	0.450279654813075	0.510650774983734	HGDP1KG	e10	eas-sas	1585	BJ
0.00100380474150818	1000	0.00100554950522859	6.78948213056837e-09	0.481585387235295	0.508446871940496	HGDP1KG	e10	eas-sas	1000	BJ
4.89937540502999e-05	100000	4.90146215123741e-05	1.69559111942596e-12	2.5025944749317e-197	0.506392938750365	HGDP1KG	e50	eas-sas	100000	BJ
5.40143879838015e-05	63096	5.40456971857721e-05	2.65436151774822e-12	1.17148179506667e-121	0.507666114425864	HGDP1KG	e50	eas-sas	63096	BJ
6.60490123754445e-05	39811	6.60967544345482e-05	4.83995246532672e-12	1.46933367279261e-77	0.50865678392128	HGDP1KG	e50	eas-sas	39811	BJ
7.99922718102183e-05	25119	8.00654545087577e-05	9.08986402267973e-12	8.00326970866201e-41	0.509682714941579	HGDP1KG	e50	eas-sas	25119	BJ
0.000103629535229185	15849	0.000103743169426297	1.88058345562091e-11	4.50690314812692e-21	0.510452570611277	HGDP1KG	e50	eas-sas	15849	BJ
0.000136971559081359	10000	0.000137149364078423	3.74565259571709e-11	7.66128085740519e-10	0.511588552455329	HGDP1KG	e50	eas-sas	10000	BJ
0.000197938025867692	6310	0.000198216656532621	9.33514771545089e-11	2.2129597390667e-05	0.511503187188506	HGDP1KG	e50	eas-sas	6310	BJ
0.000282192498947781	3981	0.000282631676697916	2.28978281197997e-10	0.0202510809402535	0.51157690002332	HGDP1KG	e50	eas-sas	3981	BJ
0.000447846253317972	2512	0.000448545280237323	7.35179901121431e-10	0.0332459535325899	0.51028392845837	HGDP1KG	e50	eas-sas	2512	BJ
0.000673364393491145	1585	0.000674462323037067	2.35636862183949e-09	0.190927484773436	0.509022479319114	HGDP1KG	e50	eas-sas	1585	BJ
0.00105714067028221	1000	0.00105888601672337	7.15676518167619e-09	0.249698045567437	0.508230050846768	HGDP1KG	e50	eas-sas	1000	BJ
0.00184699816412135	100000	0.00184701974831572	1.94885495539568e-09	0	0.500195054571266	HGDP1KG	e200	eas-sas	100000	BJ
0.00184307819099433	63096	0.00184311051212642	2.70829609755624e-09	2.27841125010905e-270	0.500247769891128	HGDP1KG	e200	eas-sas	63096	BJ
0.00183533521911119	39811	0.00183538393258931	3.38855610889111e-09	1.30838505658682e-212	0.500333850332834	HGDP1KG	e200	eas-sas	39811	BJ
0.00184954188778432	25119	0.00184961655780865	4.80626183258686e-09	1.63331475232275e-150	0.500429687343348	HGDP1KG	e200	eas-sas	25119	BJ
0.00190377976408064	15849	0.00190389575524194	8.5680620365486e-09	2.71320062139589e-88	0.500499911983695	HGDP1KG	e200	eas-sas	15849	BJ
0.0019242765982208	10000	0.00192445809677052	1.33388337439834e-08	1.67222906047757e-56	0.500626937310419	HGDP1KG	e200	eas-sas	10000	BJ
0.00208896146070091	6310	0.00208924571197543	2.01221288632956e-08	1.76817280380604e-42	0.500799420411506	HGDP1KG	e200	eas-sas	6310	BJ
0.00177941733935977	3981	0.00177986515920807	1.91383726296469e-08	1.13646394657276e-28	0.501291398099	HGDP1KG	e200	eas-sas	3981	BJ
0.00210226421808109	2512	0.00210296847195952	4.02233603653943e-08	9.71226323076946e-18	0.50140087455106	HGDP1KG	e200	eas-sas	2512	BJ
