varR	sdR	dataset	gwas	contrasts
0.174014447313906	0.417150389324889	HGDP1KG	e200	eur-long
0.0230850126408158	0.151937528743941	HGDP1KG	e200	eas-nfe
0.0133811153752243	0.11567677111341	HGDP1KG	e200	eas-sas
0.0389019337270084	0.197235731364802	HGDP1KG	e200	eas-afr
0.0139915173711516	0.118285744581296	HGDP1KG	e200	eas-amr
0.0066375858176839	0.0814713803595097	HGDP1KG	e200	nfe-sas
0.0340546822924059	0.184539107758778	HGDP1KG	e200	nfe-afr
0.00745813914216841	0.0863605184223	HGDP1KG	e200	nfe-amr
0.0293233954464278	0.171240752878594	HGDP1KG	e200	sas-afr
0.00707449175100442	0.0841099979253621	HGDP1KG	e200	sas-amr
0.0300584629179625	0.17337376652182	HGDP1KG	e200	afr-amr
